"EJI 2024 Data Dictionary
Variables beginning with ""E_"" are estimates. Variables beginning with ""EPL"" are percentile ranks for those estimates. 
Variables beginning with ""SPL_"" are summed indicator or module ranks for domains, modules, or overall scores, and variables beginning with ""RPL_"" are percentile ranks for domains, modules, or overall scores. 
Values of -999 represent ""null"" or ""no data"". 
Census tract boundaries are taken from 2020 TIGER/Line Files and are based on the 2020 decennial census.",,,,,,,
2024 VARIABLE NAME,2022 VARIABLE NAME,2024 VARIABLE DESCRIPTION,MODULE,DOMAIN,DATA SOURCE,2024 TABLE FIELD CALCULATION,NOTES
STATEFP,STATEFP,State Federal Information Processing Series (FIPS) code,No Value,No Value,No Value,No Value,No Value
COUNTYFP,COUNTYFP,County FIPS code,No Value,No Value,No Value,No Value,No Value
  TRACTCE,  TRACTCE,Census tract geographic code,No Value,No Value,"The U.S. Census Bureau 2020 Cartographic Boundary files

https://www.census.gov/geographies/ 
mapping-files/time-series/geo/cartographic-boundary.2020.html#list-tab-1883739534  ",   No Value,No Value
AFFGEOID,AFFGEOID,"Census tract identifier; a concatenation of current state Federal Information Processing Series (FIPS) code, county FIPS code, and census tract code",No Value,No Value,No Value,No Value,No Value
GEOID,GEOID,"11-digit census tract identifier, which is a concatenation of the 2-digit state FIPS code, 3-digit county FIPS code, and 6-digit census tract geographic code for 2020, with Connecticut tracts using updated 2022 County FIPS Codes.",No Value,No Value,No Value,"2020 State FIPS + 2020 County FIPS + 2020 Census Tract Code (All States, except Connecticut)
For Connecticut tracts: 2020 State FIPS + 2022 County FIPS + 2020 Census Tract Code",Connecticut tracts are using updated 2022 County FIPS codes. All other tracts are using 2020 FIPS codes.
GEOID_2020,No Value,"11-digit census tract identifier, which is a concatenation of the 2-digit state FIPS code, 3-digit county FIPS code, and 6-digit census tract geographic code for 2020.",No Value,No Value,No Value,2020 State FIPS + 2020 County FIPS + 2020 Census Tract Code (All States),Connecticut tracts are using 2020 County FIPS codes. All other tracts are using 2020 FIPS codes as well.  
COUNTY,COUNTY,County names,No Value,No Value,No Value,No Value,No Value
StateAbbr,StateAbbr,State abbreviations,No Value,No Value,No Value,No Value,No Value
StateDesc,StateDesc,Full state name,No Value,No Value,No Value,No Value,No Value
Location,Location,"Text description of tract, county, state",No Value,No Value,No Value,No Value,No Value
E_TOTPOP,E_TOTPOP,"Population estimate, 2018-2022 ACS",No Value,No Value,"2018-2022 Census Bureau American Community Survey (ACS) 5-year Data - Table S0601

https://www.census.gov/data/developers/data-sets/acs-5year.html ",S0601_C01_001E,No Value
M_TOTPOP,M_TOTPOP,"Population estimate MOE, 2018-2022 ACS",No Value,No Value,"2018-2022 Census Bureau American Community Survey (ACS) 5-year Data - Table S0601
 
https://www.census.gov/data/developers/data-sets/acs-5year.html ",S0601_C01_001M,No Value
E_DAYPOP,E_DAYPOP,"Adjunct variable - Estimated daytime population, LandScan 2021",No Value,No Value,"2021 Oak Ridge National Laboratory’s LandScan 

https://www.ornl.gov/project/landscan",No Value,No Value
SPL_EJI,SPL_EJI,"Summation of the EBM, HVM, and SVM percentile ranks",No Value,No Value,No Value,RPL_EBM + RPL_HVM + RPL_SVM,Tract with null values were not included in the sum.
RPL_EJI,RPL_EJI,Percentile ranks of SPL_EJI,No Value,No Value,No Value,In Excel: PERCENTRANK.INC on SPL_EJI array with 4 significant digits,Null values removed before calculating output rank.
SPL_SER,SPL_SER,Summation of the EBM and SVM percentile ranks,No Value,No Value,No Value,RPL_EBM + RPL_SVM,Tract with null values were not included in the sum.
RPL_SER,RPL_SER,Percentile ranks of SPL_SER,No Value,No Value,No Value,In Excel: PERCENTRANK.INC on SPL_SER array with 4 significant digits,Null values removed before calculating output rank.
SPL_EJI_CBM,No Value,"Summation of the EBM, HVM, SVM, and CBM percentile ranks",No Value,No Value,No Value,RPL_EBM + RPL_HVM + RPL_SVM + RPL_CBM,Tract with null values were not included in the sum.
RPL_EJI_CBM,No Value,Percentile ranks of SPL_EJI_CBM,No Value,No Value,No Value,In Excel: PERCENTRANK.INC on SPL_EJI_CBM array with 4 significant digits,Null values removed before calculating output rank.
E_MINRTY,EP_MINRTY,"Percentage of persons who identify as Hispanic or Latino (of any race); Black and African American, Not Hispanic or Latino; American Indian and Alaska Native, Not Hispanic or Latino; Asian, Not Hispanic or Latino; Native Hawaiian and Other Pacific Islander, Not Hispanic or Latino; Two or More Races, Not Hispanic or Latino; Other Races, Not Hispanic or Latino",SVM,SVM DOM1,"2018-2022 Census Bureau American Community Survey (ACS) 5-year Data - Table DP05

https://www.census.gov/data/developers/data-sets/acs-5year.html",100.0 - DP05_0079PE,No Value
EPL_MINRTY,EPL_MINRTY,"Percentile rank of percentage of persons who identify as Hispanic or Latino (of any race); Black and African American, Not Hispanic or Latino; American Indian and Alaska Native, Not Hispanic or Latino; Asian, Not Hispanic or Latino; Native Hawaiian and Other Pacific Islander, Not Hispanic or Latino; Two or More Races, Not Hispanic or Latino; Other Races, Not Hispanic or Latino",SVM,SVM DOM1,No Value,In Excel: PERCENTRANK.INC on E_MINRTY array with 4 significant digits,Null values removed before calculating output rank.
SPL_SVM_DOM1,SPL_SVM_DOM1,"Domain consisting of the percentage of persons who identify as Hispanic or Latino (of any race); Black and African American, Not Hispanic or Latino; American Indian and Alaska Native, Not Hispanic or Latino; Asian, Not Hispanic or Latino; Native Hawaiian and Other Pacific Islander, Not Hispanic or Latino; Two or More Races, Not Hispanic or Latino; Other Races, Not Hispanic or Latino",SVM,SVM DOM1,No Value,EPL_MINRTY,Tract with null values were not included in the sum.
RPL_SVM_DOM1,RPL_SVM_DOM1,"Percentile rank of domain consisting of the percentage of persons who identify as Hispanic or Latino (of any race); Black and African American, Not Hispanic or Latino; American Indian and Alaska Native, Not Hispanic or Latino; Asian, Not Hispanic or Latino; Native Hawaiian and Other Pacific Islander, Not Hispanic or Latino; Two or More Races, Not Hispanic or Latino; Other Races, Not Hispanic or Latino",SVM,SVM DOM1,No Value,In Excel: PERCENTRANK.INC on SPL_SVM_DOM1 array with 4 significant digits,Null values removed before calculating output rank.
E_POV200,EP_POV200,Percentage of persons with income below 200% of the federal poverty level,SVM,SVM DOM2,"2018-2022 Census Bureau American Community Survey (ACS) 5-year Data - Table S1701 

https://www.census.gov/data/developers/data-sets/acs-5year.html",(S1701_C01_042E / S1701_C01_001E) * 100,No Value
EPL_POV200,EPL_POV200,Percentile rank of the percentage of persons with income below 200% of federal poverty level,SVM,SVM DOM2,No Value,In Excel: PERCENTRANK.INC on E_POV200 array with 4 significant digits,Null values removed before calculating output rank.
E_NOHSDP,EP_NOHSDP,Percentage of persons with no high school diploma (age 25+) ,SVM,SVM DOM2,"2018-2022 Census Bureau American Community Survey (ACS) 5-year Data - Table B06009 

https://www.census.gov/data/developers/data-sets/acs-5year.html",S0601_C01_033E,No Value
EPL_NOHSDP,EPL_NOHSDP,Percentile rank of percentage of persons with no high school diploma (age 25+),SVM,SVM DOM2,No Value,In Excel: PERCENTRANK.INC on E_NOHSDP array with 4 significant digits,Null values removed before calculating output rank.
