code,start.date,end.date,number,name,ss,track,rf.max
Y1852,1852-10-07,1852-10-08,5,NA,2,O,F1
Y1857,1857-09-28,1857-09-28,4,NA,2,N,F1
Y1861,1861-08-17,1861-08-17,2,NA,1,O,Nd
Y1864,1864-08-31,1864-08-31,3,NA,1,S,F1
Y1865,1865-09-11,1865-09-11,4,NA,2,O,F1
Y1866,1866-08-16,1866-08-16,2,NA,1,N,F1
Y1868,1868-10-07,1868-10-07,3,NA,2,O,F1
Y1870,1870-10-31,1870-11-02,11,NA,1,N,F1
Y1873,1873-10-04,1873-10-05,5,NA,2,O,F2
Y1877,1877-09-28,1877-09-29,4,NA,1,O,F1
Y1878,1878-08-14,1878-08-15,2,NA,1,O,F0
Y1879,1879-08-20,1879-08-20,3,NA,1,N,F1
Y1880,1880-08-09,1880-08-09,2,NA,2,N,F2
Y1882,1882-09-07,1882-09-07,2,NA,1,O,F0
Y1886a,1886-06-18,1886-06-19,2,NA,1,O,F1
Y1886b,1886-06-28,1886-06-28,3,NA,2,N,F1
Y1886c,1886-07-15,1886-07-16,4,NA,1,O,F0
Y1886d,1886-09-19,1886-09-19,7,NA,2,O,F0
Y1887a,1887-07-25,1887-07-25,2,NA,2,N,F1
Y1887b,1887-09-17,1887-09-17,7,NA,2,N,F1
Y1887c,1887-10-15,1887-10-16,11,NA,1,O,F0
Y1888,1888-09-06,1888-09-07,4,NA,1,N*,F1
Y1889,1889-09-17,1889-09-18,6,NA,2,S,F1
Y1892,1892-10-12,1892-10-13,7,NA,1,S,F1
Y1893a,1893-07-06,1893-07-06,2,NA,1,S,F0
Y1893b,1893-09-04,1893-09-05,8,NA,1,N*,F0
Y1893c,1893-09-28,1893-09-29,10,NA,1,N,F1
Y1894,1894-10-05,1894-10-05,4,NA,3,O,F1
Y1895,1895-08-26,1895-08-27,2,NA,2,N,F1
Y1896a,1896-09-27,1896-09-28,4,NA,3,O,F0
Y1896b,1896-10-07,1896-10-08,5,NA,1,O,Nd
Y1902,1902-10-05,1902-10-08,4,NA,1,W,F1
Y1903,1903-08-12,1903-08-13,2,NA,2,N,F2
Y1906a,1906-09-24,1906-09-24,5,NA,1,O,F0
Y1906b,1906-10-16,1906-10-17,8,NA,3,O,F0
Y1909a,1909-07-18,1909-07-19,3,NA,1,O,Nd
Y1909b,1909-08-25,1909-08-26,5,NA,3,O,F2
Y1909c,1909-09-17,1909-09-19,7,NA,3,O,F0
Y1910a,1910-09-11,1910-09-11,2,NA,2,O,F0
Y1910b,1910-10-16,1910-10-16,4,NA,3,O,F0
Y1912,1912-10-12,1912-10-13,5,NA,2,N,F1
Y1913,1913-06-24,1913-06-25,1,NA,2,N,F1
Y1915a,1915-08-15,1915-08-15,2,NA,3,O,F1
Y1915b,1915-09-27,1915-09-28,5,NA,3,O,F1
Y1916a,1916-07-03,1916-07-04,1,NA,2,O,F1
Y1916b,1916-08-17,1916-08-17,4,NA,3,O,F2
Y1916c,1916-09-01,1916-09-02,6,NA,1,S,F1
Y1916d,1916-10-15,1916-10-16,13,NA,2,N*,F2
Y1916e,1916-11-14,1916-11-15,14,NA,1,O,F1
